英文詞彙,詞性,中文解釋
team,n,隊伍；團隊 (名詞)
tear,n,眼淚；撕裂處 (名詞) (發音不同) (例如: Tears ran down her cheeks.)
tear,v,撕裂；扯破 (動詞) (例如: to tear a piece of paper)
technique,n,技巧；技術 (名詞)
technology,n,科技；技術 (名詞)
teenager,n,青少年(13-19歲) (名詞)
telephone,n,電話 (名詞)
telephone,v,打電話 (動詞)
television,n,電視；電視機 (名詞)
TV,n,電視 (名詞) (television的縮寫)
tell,v,告訴；分辨；吩咐；講(故事) (動詞) (例如: to tell a story; to tell someone something; to tell someone to do something; You can't always tell.)
temperature,n,溫度；體溫 (名詞) (例如: to have a temperature; air temperature)
temporary,adj,暫時的；臨時的 (形容詞)
tennis,n,網球 (名詞)
tense,n,時態(文法) (名詞)
tent,n,帳篷 (名詞)
term,n,學期；術語；條款 (名詞)
terrible,adj,可怕的；糟糕的 (形容詞)
terribly,adv,非常；可怕地 (副詞)
terrific,adj,極好的；了不起的 (形容詞)
terrified,adj,感到恐懼的；嚇壞的 (形容詞)
test,n,測驗；考試；檢驗 (名詞)
test,v,測驗；檢驗 (動詞)
text,n,正文；課文；簡訊 (名詞)
text,v,發簡訊 (動詞)
textbook,n,教科書；課本 (名詞)
text message,n,簡訊 (名詞)
than,conj,比 (連接詞) (用於比較級)
than,prep,比 (介係詞) (用於比較級)
thank,v,感謝 (動詞)
thanks,exclam,謝謝 (感嘆詞)
thank you,exclam,謝謝你/您 (感嘆詞)
that,conj,那個(連接詞，引導名詞子句等)
that,det,那個 (限定詞)
that,pron,那個 (代名詞)
the,det,這；那 (冠詞) (定冠詞)
theatre,n,劇院；戲劇 (名詞) (英式拼法)
theater,n,劇院；戲劇 (名詞) (美式拼法)
their,det,他們的；她們的；它們的 (限定詞)
theirs,pron,他們的(東西)；她們的(東西)；它們的(東西) (代名詞)
them,pron,他們；她們；它們(受格) (代名詞)
themselves,pron,他們自己；她們自己；它們自己 (代名詞) (反身代名詞)
then,adv,然後；那麼；當時 (副詞)
there,adv,那裡；在那裡；存在(與be動詞連用) (副詞)
therefore,adv,因此；所以 (副詞)
these,det,這些 (限定詞) (this的複數)
these,pron,這些 (代名詞) (this的複數)
they,pron,他們；她們；它們 (代名詞)
thick,adj,厚的；濃的；密的 (形容詞)
thief,n,小偷；賊 (名詞)
thin,adj,薄的；瘦的；稀的 (形容詞)
thing,n,東西；事情；事物 (名詞)
think,v,想；認為；思考 (動詞) (例如: to think about something; I think he's left.; What did you think of the film?; I think I'll go.; I'm thinking of going.)
thirsty,adj,口渴的 (形容詞)
this,det,這個 (限定詞)
this,pron,這個 (代名詞)
those,det,那些 (限定詞) (that的複數)
those,pron,那些 (代名詞) (that的複數)
though,conj,雖然；儘管 (連接詞)
thought,n,想法；思想；思考 (名詞) (例如: to have thoughts about something; to be deep in thought)
thriller,n,驚悚片；驚悚小說 (名詞)
throat,n,喉嚨 (名詞)
through,prep,穿過；通過；遍及；由於 (介係詞)
throw,v,扔；拋；投 (動詞)
throw away,phr v,扔掉；丟棄 (片語動詞) (例如: He threw away the old TV.)
thumb,n,拇指 (名詞)
thunder,n,雷；雷聲 (名詞)
thunderstorm,n,雷雨；暴風雨 (名詞)
tick,n,勾號；滴答聲 (名詞)
tick,v,打勾；發出滴答聲 (動詞)
ticket,n,票；券；罰單 (名詞)
tidy,adj,整潔的；整齊的 (形容詞)
tidy,v,整理；收拾 (動詞)
tidy up,phr v,整理乾淨；收拾整齊 (片語動詞) (例如: Please tidy up when you've finished.)
tie,n,領帶；繩索；平手 (名詞) (例如: a shirt and tie)
tie,v,繫；綁；打成平手 (動詞) (例如: to tie with string)
tiger,n,老虎 (名詞)
tight,adj,緊的；牢固的；拮据的 (形容詞) (例如: tight shoes)
tights,n pl,褲襪；緊身褲 (名詞複數) (例如: a pair of tights)
till,conj,直到...為止 (連接詞) (例如: till he comes)
till,prep,直到...為止 (介係詞) (例如: to wait till the end)
time,n,時間；次數；時代；倍數 (名詞) (例如: What time is it?; It took a long time.; the last time; Is it time yet?)
time,v,計時；安排時間 (動詞) (例如: Four times five is twenty. (這裡作乘法))
timetable,n,時刻表；課程表 (名詞) (英式)
tin,n,罐頭(英式)；錫 (名詞) (例如: a tin of peas; made of tin)
tiny,adj,極小的；微小的 (形容詞)
tip,n,尖端；小費；秘訣；提示 (名詞) (例如: the tip of the pencil; a tip for the waitress)
tip (advice),n,建議；秘訣 (名詞)
tired,adj,疲倦的；厭倦的 (形容詞)
tiring,adj,令人疲倦的 (形容詞)
tissue,n,面紙；薄紙；組織(生物) (名詞)
title,n,標題；頭銜；書名 (名詞)
to,prep,到；向；給；對(表目的、結果、比較等) (介係詞)
toast,n,吐司；烤麵包片；祝酒 (名詞) (例如: toast for breakfast)
today,adv,今天；現今 (副詞)
today,n,今天；現今 (名詞)
toe,n,腳趾 (名詞)
together,adv,一起；共同 (副詞)
toilet,n,廁所；馬桶 (名詞)
tomato,n,番茄 (名詞)
tomorrow,adv,明天 (副詞)
tomorrow,n,明天 (名詞)
tongue,n,舌頭；語言 (名詞)
tonight,adv,今晚 (副詞)
tonight,n,今晚 (名詞)
too,adv,也；太；非常 (副詞) (例如: I've been there, too.; It's too heavy to lift.)
tooth,n,牙齒 (名詞) (單數)
teeth,n,牙齒 (名詞) (複數)
toothache,n,牙痛 (名詞)
toothbrush,n,牙刷 (名詞)
toothpaste,n,牙膏 (名詞)
top,adj,頂端的；最高的；最重要的 (形容詞) (例如: top of the class)
top,n,頂部；上面；陀螺；上衣 (名詞) (例如: at the top of his voice)
topic,n,主題；話題 (名詞)
torch,n,手電筒(英式)；火把 (名詞)
total,adj,總計的；完全的 (形容詞)
total,n,總數；合計 (名詞)
totally,adv,完全地；徹底地 (副詞)
touch,v,觸摸；感動；涉及 (動詞)
tour,n,旅遊；巡迴演出/比賽 (名詞)
tour,v,旅遊；巡迴 (動詞)
tour guide,n,導遊 (名詞)
tourism,n,旅遊業；觀光 (名詞)
tourist,n,遊客；觀光客 (名詞)
tourist information centre,n,遊客資訊中心 (名詞)
toward,prep,向；朝著；對於 (介係詞) (美式拼法)
towards,prep,向；朝著；對於 (介係詞) (英式拼法)
towel,n,毛巾 (名詞)
tower,n,塔；高樓 (名詞)
town,n,城鎮；市區 (名詞)
toy,n,玩具 (名詞)
track,n,軌道；跑道；蹤跡；歌曲(專輯中) (名詞) (例如: a race track)
tracksuit,n,運動服(一套) (名詞)
trade,n,貿易；交易；行業 (名詞)
traditional,adj,傳統的 (形容詞)
traffic,n,交通；車流量 (名詞)
traffic jam,n,塞車 (名詞)
traffic light,n,交通號誌燈 (名詞)
traffic lights,n pl,交通號誌燈 (名詞複數)
train,n,火車；訓練 (名詞) (例如: to travel by train)
train,v,訓練；培養 (動詞) (例如: to train in a skill)
trainer,n,教練；運動鞋(英式) (名詞) (例如: a pair of trainers; a personal trainer)
training,n,訓練；培訓 (名詞)
tram,n,電車 (名詞) (尤指英式)
transfer,v,轉移；調動；轉乘 (動詞)
translate,v,翻譯 (動詞)
translation,n,翻譯；譯文 (名詞)
transport,n,運輸；交通工具 (名詞) (英式)
trash can,n,垃圾桶 (名詞) (美式英語)
travel,v,旅行；行進 (動詞)
travel agent,n,旅行社經紀人 (名詞)
tree,n,樹 (名詞)
trend,n,趨勢；潮流 (名詞)
trick,n,詭計；把戲；訣竅 (名詞)
trip,n,旅行；絆倒 (名詞) (例如: a weekend trip)
trouble,n,麻煩；困難；煩惱 (名詞)
trousers,n pl,褲子 (名詞複數) (英式)
truck,n,卡車 (名詞) (美式英語)
trunk,n,樹幹；(汽車)行李箱(美式)；象鼻；大箱子 (名詞) (例如: the trunk of a car)
true,adj,真實的；正確的；忠實的 (形容詞) (例如: Is it true?; a true friend)
trumpet,n,小號；喇叭 (名詞)
trust,v,信任；信賴 (動詞) (例如: to trust someone)
truth,n,真相；事實；真理 (名詞)
try,v,嘗試；努力；審判 (動詞) (例如: to try to do something; to try (out) something)
try on,phr v,試穿 (片語動詞) (例如: to try on shoes)
T-shirt,n,T恤 (名詞)
tube,n,管子；地鐵(倫敦) (名詞) (例如: a tube of toothpaste)
tuna,n,鮪魚 (名詞)
tune,n,曲調；旋律 (名詞)
tunnel,n,隧道；地道 (名詞)
turkey,n,火雞；火雞肉 (名詞)
turn,n,轉彎；輪流；變化 (名詞) (例如: It's my turn.)
turn,v,轉動；轉變；變成 (動詞) (例如: to turn your head; to turn the page; The wheels began to turn.)
turn down,phr v,拒絕；調低(音量、火力) (片語動詞) (例如: Could you turn down the music?)
turning,n,轉彎處；轉向 (名詞) (例如: the first turning on the left)
turn into,phr v,變成；轉入 (片語動詞) (例如: The water had turned into ice.)
turn off,phr v,關掉(電器、水龍頭)；使失去興趣 (片語動詞) (例如: She turned off the engine.)
turn on,phr v,打開(電器、水龍頭)；使興奮 (片語動詞) (例如: Can you turn on the TV?)
turn up,phr v,出現；調高(音量)；找到 (片語動詞) (例如: Turn up the radio – I can hardly hear it.)
twice,adv,兩次；兩倍 (副詞)
twin,n,雙胞胎之一 (名詞)
type,n,類型；種類；字體 (名詞) (例如: a type of person)
type,v,打字 (動詞) (例如: to type a letter)
typical,adj,典型的；有代表性的 (形容詞)
typically,adv,典型地；通常 (副詞)
tyre,n,輪胎 (名詞) (英式拼法)
tire,n,輪胎 (名詞) (美式拼法)
ugly,adj,醜陋的；難看的 (形容詞)
umbrella,n,雨傘 (名詞)
unable,adj,不能的；無法的 (形容詞)
unbelievable,adj,難以置信的 (形容詞)
uncle,n,叔叔；伯父；舅舅；姑父；姨父 (名詞)
uncomfortable,adj,不舒服的；令人不安的 (形容詞)
under,prep,在...下面；少於；在(某情況)下 (介係詞) (例如: under the bed; under £10.00)
underground,adj,地下的；秘密的 (形容詞) (例如: underground trains)
underground,n,地鐵(英式)；地下 (名詞) (例如: to travel by underground)
underline,v,在...下面劃線；強調 (動詞)
underneath,prep,在...下面；在...底下 (介係詞)
underpants,n pl,內褲(男用) (名詞複數)
understand,v,理解；明白 (動詞)
underwear,n,內衣褲 (名詞) (不可數)
undress,v,脫衣服 (動詞)
unemployed,adj,失業的 (形容詞)
unemployment,n,失業；失業人數 (名詞)
unexpected,adj,意外的；出乎意料的 (形容詞)
unfair,adj,不公平的 (形容詞)
unfit,adj,不適合的；不健康的 (形容詞)
unforgettable,adj,難忘的 (形容詞)
unfortunately,adv,不幸地；遺憾地 (副詞)
unfriendly,adj,不友善的 (形容詞)
unhappy,adj,不快樂的；不高興的 (形容詞)
unhealthy,adj,不健康的 (形容詞)
uniform,n,制服 (名詞)
union,n,工會；聯合；結合 (名詞)
unit,n,單位；單元；部件 (名詞)
unkind,adj,不友善的；刻薄的 (形容詞)
unknown,adj,未知的；不出名的 (形容詞)
unimportant,adj,不重要的 (形容詞)
uninterested,adj,不感興趣的；漠不關心的 (形容詞)
uninteresting,adj,無趣的；乏味的 (形容詞)
universe,n,宇宙 (名詞)
university,n,大學 (名詞)
unless,conj,除非；如果不 (連接詞)
unlikely,adj,不太可能的 (形容詞)
unlucky,adj,不幸的；運氣不好的 (形容詞)
unnecessary,adj,不必要的 (形容詞)
unpack,v,打開(行李、包裹)；卸下 (動詞)
unpleasant,adj,令人不愉快的；討厭的 (形容詞)
untidy,adj,不整潔的；凌亂的 (形容詞)
until,prep,直到...為止 (介係詞)
until,conj,直到...為止 (連接詞)
unusual,adj,不尋常的；罕見的 (形容詞)
unwell,adj,身體不適的；生病的 (形容詞)
up,adv,向上；起床；到(某處)；完結 (副詞) (例如: Are you up yet? (awake and dressed); Lift your head up.; Speak up, please.)
up,prep,向上；沿著 (介係詞) (例如: to walk up the hill)
update,n,更新；最新消息 (名詞)
update,v,更新 (動詞)
upload,n,上傳 (名詞)
upload,v,上傳 (動詞)
upon,prep,在...之上 (介係詞) (on的較正式用法) (例如: once upon a time; That depends upon when you finish.)
upper,adj,較高的；上面的；上游的 (形容詞)
upset,adj,難過的；沮喪的；(腸胃)不適的 (形容詞)
upstairs,adj,樓上的 (形容詞)
upstairs,adv,在樓上；往樓上 (副詞)
up to,prep phr,直到；多達；勝任；取決於 (介片語) (例如: up to six people)
up to date,prep phr,最新的；現代的 (介片語)
urgent,adj,緊急的；急迫的 (形容詞)
urgently,adv,緊急地；急迫地 (副詞)
us,pron,我們(受格) (代名詞)
use,n,使用；用途；益處 (名詞) (例如: It's for the use of teachers only.; Is this any use to you?)
use,v,使用；利用 (動詞) (例如: Can you use a computer?)
used to,v phr,過去經常(做某事)；習慣於 (動詞片語) (例如: I used to cycle a lot when I was younger.; I'm not used to getting up early.)
useful,adj,有用的；有益的 (形容詞)
user,n,使用者；用戶 (名詞)
usual,adj,通常的；平常的 (形容詞)
usually,adv,通常；平常 (副詞)
v,prep,對；與...相對 (prep) (versus的縮寫，例如: Manchester United v Liverpool)
versus,prep,對；與...相對 (prep)
valley,n,山谷；溪谷 (名詞)
valuable,adj,有價值的；貴重的 (形容詞)
value,n,價值；價格；重要性 (名詞)
van,n,廂型貨車；客貨兩用車 (名詞)
vanilla,n,香草 (名詞)
variety,n,多樣性；種類；綜藝節目 (名詞)
various,adj,各種不同的；各種各樣的 (形容詞)
vase,n,花瓶 (名詞)
vegetable,n,蔬菜 (名詞)
vegetarian,n,素食者 (名詞)
vegetarian,adj,素食的 (形容詞)
vehicle,n,車輛；交通工具 (名詞)
version,n,版本；說法 (名詞) (例如: new/original version)
very,adv,非常；很 (副詞)
vet,n,獸醫 (名詞) (veterinarian的縮寫)
via,prep,經由；透過 (介係詞)
video,n,影片；錄影帶 (名詞)
video,v,錄影 (動詞)
video clip,n,影片片段 (名詞)
video game,n,電動遊戲；電子遊戲 (名詞)
view,n,景色；看法；視野 (名詞) (例如: a beautiful view)
village,n,村莊 (名詞)
violin,n,小提琴 (名詞)
virus,n,病毒 (名詞) (例如: a computer virus)
visa,n,簽證 (名詞)
visit,n,拜訪；參觀 (名詞)
visit,v,拜訪；參觀 (動詞)
visitor,n,訪客；遊客 (名詞)
vocabulary,n,詞彙；字彙量 (名詞)
voice,n,聲音；嗓音；意見 (名詞)
volleyball,n,排球 (名詞)
volume,n,音量；體積；容積；冊 (名詞)
volunteer,n,志工；自願者 (名詞)
vote,n,投票；選票 (名詞)
vote,v,投票；選舉 (動詞)
vowel,n,母音；元音 (名詞)
wage,n,工資；薪水 (名詞) (通常指時薪或週薪)
wages,n pl,工資；薪水 (名詞複數)
wait,n,等待 (名詞)
wait,v,等待；等候 (動詞)
waiter,n,男服務生 (名詞)
waiting room,n,候診室；候車室 (名詞)
waitress,n,女服務生 (名詞)
wake,v,醒來；喚醒 (動詞)
wake up,phr v,醒來；喚醒 (片語動詞)
walk,n,散步；步行；小路 (名詞)
walk,v,走路；散步 (動詞)
walking,n,步行；散步 (名詞)
wall,n,牆壁 (名詞)
wallet,n,皮夾；錢包(男用) (名詞)
want,v,想要；需要 (動詞)
war,n,戰爭 (名詞)
wardrobe,n,衣櫃 (名詞)
warm,adj,溫暖的；熱情的 (形容詞)
warn,v,警告；告誡 (動詞)
warning,n,警告；告誡 (名詞)
wash,n,洗滌；洗衣物 (名詞)
wash,v,洗；清洗 (動詞)
wash up,phr v,洗碗碟(英式)；(被浪)沖上岸 (片語動詞)
washing machine,n,洗衣機 (名詞)
washing-up,n,洗碗碟(英式) (名詞) (例如: to do the washing-up)
waste,adj,廢棄的；無用的 (形容詞)
waste,v,浪費；消耗 (動詞)
watch,n,手錶；觀看；守夜 (名詞) (例如: My watch keeps good time.)
watch,v,觀看；注視；當心 (動詞) (例如: I watched TV last night.)
water,n,水 (名詞)
water,v,澆水 (動詞)
waterfall,n,瀑布 (名詞)
wave,n,波浪；揮手；一陣(情感) (名詞) (例如: waves at sea)
wave,v,揮手；飄動 (動詞) (例如: to wave goodbye)
way,n,方法；道路；方向；方式；方面 (名詞) (例如: Is this the way?; the wrong way; a long way; to stand in the way; That's the way to do it.; way of life; way in, way out)
we,pron,我們 (代名詞)
weak,adj,虛弱的；薄弱的；淡的 (形容詞) (例如: to feel weak; a weak excuse)
wear,v,穿著；戴著；磨損 (動詞) (例如: to wear a dress)
wear out,phr v,穿破；用壞；使筋疲力盡 (片語動詞) (例如: You'll wear out those shoes.)
wear out,adj,磨損的；筋疲力盡的 (形容詞) (例如: My shoes are worn out.)
weather,n,天氣 (名詞)
weather forecast,n,天氣預報 (名詞)
web,n,網；網路 (名詞)
webcam,n,網路攝影機 (名詞)
web page,n,網頁 (名詞)
website,n,網站 (名詞)
wedding,n,婚禮 (名詞)
week,n,星期；週 (名詞)
weekday,n,平日；工作日 (名詞)
weekend,n,週末 (名詞)
weekly,adj,每週的 (形容詞) (例如: a weekly magazine)
weekly,adv,每週一次 (副詞) (例如: to phone home twice weekly)
weigh,v,稱重；有...重量；衡量 (動詞)
weight,n,重量；體重；砝碼 (名詞)
welcome,n,歡迎 (名詞) (例如: a warm welcome)
welcome,v,歡迎 (動詞) (例如: Welcome to London!)
well,adj,健康的；良好的 (形容詞) (例如: I'm very well, thanks.)
well,adv,好地；充分地；很 (副詞) (例如: to behave very well; Shake the bottle well.)
well,exclam,嗯；那麼 (感嘆詞) (例如: Well, here we are.)
well done,adv,做得好 (副詞片語)
well-dressed,adj,衣著體面的；穿著講究的 (形容詞)
well-known,adj,著名的；眾所周知的 (形容詞)
well made,adv,製作精良地 (副詞)
well-made,adj,製作精良的 (形容詞)
west,adj,西方的 (形容詞)
west,adv,向西方 (副詞)
west,n,西方 (名詞)
western,adj,西方的；西部的 (形容詞)
wet,adj,濕的；下雨的 (形容詞) (例如: wet clothes; wet weather)
whale,n,鯨魚 (名詞)
what,det,什麼 (限定詞)
what,pron,什麼 (代名詞)
whatever,pron,無論什麼；任何事物 (代名詞)
whatever,det,無論什麼樣的 (限定詞)
wheel,n,輪子；方向盤 (名詞)
wheelchair,n,輪椅 (名詞)
when,adv,何時；當...的時候 (副詞)
whenever,conj,無論何時；每當 (連接詞)
where,adv,哪裡；在...地方 (副詞)
where,conj,在...地方 (連接詞)
wherever,conj,無論哪裡；任何地方 (連接詞)
whether,conj,是否；無論 (連接詞)
which,pron,哪個；哪些 (代名詞)
which,det,哪個；哪些 (限定詞)
while,conj,當...的時候；然而；儘管 (連接詞)
whilst,conj,當...的時候；然而；儘管 (連接詞) (while的較正式用法)
while,n,一段時間 (名詞) (例如: He stayed for a short while)
white,adj,白色的 (形容詞)
who,pron,誰 (代名詞)
whole,adj,全部的；完整的 (形容詞)
whole,n,全部；整體 (名詞)
whose,det,誰的 (限定詞)
whose,pron,誰的(東西) (代名詞)
why,adv,為什麼 (副詞)
wide,adj,寬的；廣泛的 (形容詞) (例如: a wide road)
wife,n,妻子 (名詞)
wild,adj,野生的；狂野的；荒涼的 (形容詞)
wildlife,n,野生動植物 (名詞)
will,mv,將要；願意；會 (情態助動詞)
willing,adj,願意的；樂意的 (形容詞)
win,v,贏得；獲勝 (動詞)
wind,n,風 (名詞) (例如: A strong wind was blowing.)
window,n,窗戶 (名詞)
windscreen,n,擋風玻璃 (名詞) (英式)
windsurfing,n,風浪板運動 (名詞)
windy,adj,多風的 (形容詞)
wing,n,翅膀；機翼；廂房 (名詞) (例如: a bird's wing; the wing of an aeroplane)
winner,n,獲勝者；贏家 (名詞)
wise,adj,明智的；聰明的 (形容詞)
wish,n,願望；祝福 (名詞) (例如: Best wishes.)
wish,v,希望；但願；祝願 (動詞) (例如: Wish me luck.; I wish you were here.)
with,prep,和...一起；帶有；用；關於 (介係詞)
within,prep,在...之內 (介係詞)
without,prep,沒有；缺乏 (介係詞)
woman,n,女人；婦女 (名詞)
wonder,v,想知道；感到驚奇 (動詞) (例如: I wonder what he said.)
wonderful,adj,極好的；精彩的 (形容詞)
wood,n,木頭；樹林 (名詞) (例如: to be made of wood; in a large wood)
wooden,adj,木製的 (形容詞)
wool,n,羊毛；毛線 (名詞)
word,n,字；詞；話語；消息 (名詞) (例如: words in a sentence; He didn't say a word.)
work,n,工作；作品；功課 (名詞) (例如: school work; hard work; to be out of work)
work,v,工作；運作；起作用 (動詞) (例如: to work for a living)
worker,n,工人；工作者 (名詞)
working,adj,工作的；在職的 (形容詞)
workout,n,健身；鍛鍊 (名詞) (例如: I like a good workout at the gym.)
work out,phr v,解決；計算出來；鍛鍊身體；成功發展 (片語動詞) (例如: I work out at the gym every day.)
world,n,世界 (名詞)
worried,adj,擔心的；焦慮的 (形容詞)
worry,n,擔心；煩惱 (名詞)
worry,v,擔心；使煩惱 (動詞)
worse,adj,更壞的；更差的 (形容詞) (bad的比較級)
worse,adv,更壞地；更差地 (副詞) (badly的比較級)
worst,adj,最壞的；最差的 (形容詞) (bad的最高級)
worst,adv,最壞地；最差地 (副詞) (badly的最高級)
worth,adj,值得的；價值...的 (形容詞)
would,mv,將會(will的過去式)；願意(表客氣請求或假設) (情態助動詞)
wow,exclam,哇 (感嘆詞)
wrap,v,包裹；包紮 (動詞) (wrap (up)) (例如: to wrap (up) a parcel)
wrap up,phr v,包裹起來；穿暖和 (片語動詞)
write,v,寫；書寫 (動詞)
write down,phr v,寫下來；記下 (片語動詞) (例如: write down an address)
writer,n,作家；作者 (名詞)
writing,n,書寫；作品；筆跡 (名詞)
written,adj,書寫的；寫成的 (形容詞)
wrong,adj,錯誤的；不對的；有毛病的 (形容詞)
yard,n,院子；碼(長度單位) (名詞)
yeah,exclam,是的；嗯 (感嘆詞) (yes的口語)
year,n,年 (名詞)
yellow,adj,黃色的 (形容詞)
yellow,n,黃色 (名詞)
yes,adv,是的；嗯 (副詞)
yesterday,adv,昨天 (副詞)
yesterday,n,昨天 (名詞)
yet,adv,還(未)；然而；但是 (副詞) (用於否定句、疑問句或表轉折)
yoga,n,瑜珈 (名詞)
yogurt,n,優格；酸奶 (名詞) (美式拼法)
yoghurt,n,優格；酸奶 (名詞) (英式拼法)
you,pron,你；你們 (代名詞)
you know,exclam,你知道的；嗯(用於停頓或引起注意) (感嘆詞/片語)
young,adj,年輕的 (形容詞)
your,det,你的；你們的 (限定詞)
yours,pron,你的(東西)；你們的(東西) (代名詞)
yourself,pron,你自己；你們自己(單數) (代名詞) (反身代名詞)
youth,n,青年時期；年輕人；青春 (名詞)
zebra,n,斑馬 (名詞)
zero,n,零 (名詞)
zone,n,區域；地帶 (名詞)
zoo,n,動物園 (名詞)
